FL_DATE,OP_CARRIER_FL_NUM,DELAYED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2010-01-01,130,No,0,0,0,0,0
2010-01-01,349,No,0,0,0,0,0
2010-01-01,914,No,0,0,0,0,0
2010-01-01,1476,Yes,19,0,29,0,12
2010-01-01,1512,No,0,0,0,0,0
2010-01-01,1672,No,0,0,0,0,0
2010-01-01,1720,Yes,0,0,0,0,0
2010-01-01,1744,No,0,0,0,0,0
2010-01-02,130,No,0,0,0,0,0
2010-01-02,349,No,0,0,0,0,0
2010-01-02,914,No,0,0,0,0,0
2010-01-02,1476,Yes,0,0,16,0,0
2010-01-02,1512,Yes,0,0,0,0,0
2010-01-02,1672,No,0,0,0,0,0
2010-01-02,1720,Yes,9,0,0,0,29
2010-01-02,1744,Yes,0,0,0,0,0
2010-01-03,130,Yes,0,0,29,0,91
2010-01-03,349,Yes,0,16,1,0,0
2010-01-03,914,Yes,19,0,0,0,0
2010-01-03,1476,Yes,0,0,0,0,0
2010-01-03,1512,Yes,0,6,13,0,0
2010-01-03,1672,Yes,0,0,0,0,15
2010-01-03,1720,Yes,17,0,5,0,41
2010-01-03,1744,Yes,8,0,15,0,0
2010-01-04,130,No,0,0,0,0,0
2010-01-04,349,Yes,0,0,0,0,109
2010-01-04,914,Yes,0,0,0,0,0
2010-01-04,1476,Yes,0,0,0,0,0
2010-01-04,1512,Yes,0,0,0,0,0
2010-01-04,1672,No,0,0,0,0,0
2010-01-04,1720,Yes,0,0,0,0,0
2010-01-04,1744,No,0,0,0,0,0
2010-01-05,130,No,0,0,0,0,0
2010-01-05,349,Yes,0,0,0,0,0
2010-01-05,1280,Yes,0,4,34,0,7
2010-01-05,1512,Yes,0,0,0,0,0
2010-01-05,1586,No,0,0,0,0,0
2010-01-05,1592,Yes,64,0,72,0,0
2010-01-05,1672,Yes,0,0,0,0,0
2010-01-05,1720,Yes,49,0,0,0,19
2010-01-06,130,Yes,0,0,39,0,0
2010-01-06,349,Yes,14,0,42,0,0
2010-01-06,1280,Yes,0,0,0,0,0
2010-01-06,1512,Yes,0,0,40,0,0
2010-01-06,1586,Yes,13,0,0,0,6
2010-01-06,1592,Yes,17,0,27,0,0
2010-01-06,1672,Yes,0,0,0,0,0
2010-01-06,1720,Yes,0,0,0,0,0
2010-01-07,130,Yes,0,0,0,0,0
2010-01-07,349,No,0,0,0,0,0
2010-01-07,1280,No,0,0,0,0,0
2010-01-07,1512,Yes,0,0,0,0,0
2010-01-07,1586,No,0,0,0,0,0
2010-01-07,1592,No,0,0,0,0,0
2010-01-07,1672,Yes,0,0,15,0,0
2010-01-07,1720,No,0,0,0,0,0
2010-01-08,130,No,0,0,0,0,0
2010-01-08,349,No,0,0,0,0,0
2010-01-08,1280,No,0,0,0,0,0
2010-01-08,1512,No,0,0,0,0,0
2010-01-08,1586,No,0,0,0,0,0
2010-01-08,1592,No,0,0,0,0,0
2010-01-08,1672,No,0,0,0,0,0
2010-01-08,1720,No,0,0,0,0,0
2010-01-09,130,Yes,0,0,0,0,0
2010-01-09,349,No,0,0,0,0,0
2010-01-09,1280,No,0,0,0,0,0
2010-01-09,1512,Yes,0,0,0,0,0
2010-01-09,1586,No,0,0,0,0,0
2010-01-09,1592,No,0,0,0,0,0
2010-01-09,1672,No,0,0,0,0,0
2010-01-09,1720,Yes,0,0,0,0,0
2010-01-10,130,Yes,0,0,0,0,0
2010-01-10,349,No,0,0,0,0,0
2010-01-10,1280,Yes,7,0,19,0,1
2010-01-10,1512,Yes,0,0,0,0,0
2010-01-10,1586,Yes,0,0,0,0,0
2010-01-10,1592,Yes,0,0,0,0,0
2010-01-10,1672,No,0,0,0,0,0
2010-01-10,1720,No,0,0,0,0,0
2010-01-11,130,Yes,0,0,0,0,0
2010-01-11,349,Yes,0,0,0,0,0
2010-01-11,1280,Yes,0,0,0,0,0
2010-01-11,1512,Yes,0,0,18,0,0
2010-01-11,1586,No,0,0,0,0,0
2010-01-11,1592,No,0,0,0,0,0
2010-01-11,1672,No,0,0,0,0,0
2010-01-11,1720,Yes,0,0,0,0,0
2010-01-12,130,No,0,0,0,0,0
2010-01-12,349,No,0,0,0,0,0
2010-01-12,1280,No,0,0,0,0,0
2010-01-12,1512,Yes,0,0,0,0,0
2010-01-12,1586,No,0,0,0,0,0
2010-01-12,1592,No,0,0,0,0,0
2010-01-12,1672,Yes,0,0,0,0,0
2010-01-12,1720,Yes,24,0,0,0,9
2010-01-13,1280,No,0,0,0,0,0
2010-01-13,1512,No,0,0,0,0,0
2010-01-13,1586,No,0,0,0,0,0
2010-01-13,1592,No,0,0,0,0,0
2010-01-13,1672,Yes,0,0,0,0,0
2010-01-13,1720,No,0,0,0,0,0
2010-01-13,130,Yes,74,0,0,0,0
2010-01-13,349,No,0,0,0,0,0
2010-01-14,130,No,0,0,0,0,0
2010-01-14,349,No,0,0,0,0,0
2010-01-14,1280,No,0,0,0,0,0
2010-01-14,1512,No,0,0,0,0,0
2010-01-14,1586,No,0,0,0,0,0
2010-01-14,1592,No,0,0,0,0,0
2010-01-14,1672,No,0,0,0,0,0
2010-01-14,1720,Yes,0,0,0,0,0
2010-01-15,130,No,0,0,0,0,0
2010-01-15,349,No,0,0,0,0,0
2010-01-15,1280,No,0,0,0,0,0
2010-01-15,1512,No,0,0,0,0,0
2010-01-15,1586,No,0,0,0,0,0
2010-01-15,1592,No,0,0,0,0,0
2010-01-15,1672,Yes,0,0,7,0,26
2010-01-15,1720,No,0,0,0,0,0
2010-01-16,130,No,0,0,0,0,0
2010-01-16,349,No,0,0,0,0,0
2010-01-16,1280,Yes,0,0,0,0,0
2010-01-16,1512,Yes,0,0,0,0,0
2010-01-16,1586,Yes,0,0,0,0,0
2010-01-16,1592,No,0,0,0,0,0
2010-01-16,1672,Yes,0,0,0,0,0
2010-01-16,1720,No,0,0,0,0,0
2010-01-17,130,No,0,0,0,0,0
2010-01-17,349,No,0,0,0,0,0
2010-01-17,1280,Yes,0,0,27,0,0
2010-01-17,1512,Yes,0,0,0,0,0
2010-01-17,1586,No,0,0,0,0,0
2010-01-17,1592,Yes,0,0,0,0,0
2010-01-17,1672,Yes,33,0,5,0,0
2010-01-17,1720,No,0,0,0,0,0
2010-01-18,130,Yes,0,0,0,0,0
2010-01-18,349,No,0,0,0,0,0
2010-01-18,1280,No,0,0,0,0,0
2010-01-18,1512,Yes,117,0,4,0,0
2010-01-18,1586,Yes,0,0,0,0,0
2010-01-18,1592,No,0,0,0,0,0
2010-01-18,1672,Yes,11,0,7,0,49
2010-01-18,1720,Yes,0,0,0,0,0
2010-01-19,130,Yes,0,0,0,0,0
2010-01-19,349,No,0,0,0,0,0
2010-01-19,1280,Yes,0,0,0,0,0
2010-01-19,1512,Yes,0,0,0,0,0
2010-01-19,1586,Yes,26,0,0,0,0
2010-01-19,1592,Yes,9,0,8,0,0
2010-01-19,1672,No,0,0,0,0,0
2010-01-19,1720,No,0,0,0,0,0
2010-01-20,130,Yes,15,0,0,0,0
2010-01-20,349,Yes,14,0,2,0,0
2010-01-20,1280,Yes,0,0,0,0,0
2010-01-20,1512,No,0,0,0,0,0
2010-01-20,1586,No,0,0,0,0,0
2010-01-20,1592,No,0,0,0,0,0
2010-01-20,1672,Yes,0,0,18,0,0
2010-01-20,1720,Yes,0,0,23,0,0
2010-01-21,130,Yes,0,26,1,0,0
2010-01-21,349,Yes,0,0,0,0,0
2010-01-21,1280,No,0,0,0,0,0
2010-01-21,1512,Yes,0,0,0,0,0
2010-01-21,1586,No,0,0,0,0,0
2010-01-21,1592,No,0,0,0,0,0
2010-01-21,1672,Yes,0,0,0,0,0
2010-01-21,1720,No,0,0,0,0,0
2010-01-22,130,No,0,0,0,0,0
2010-01-22,349,No,0,0,0,0,0
2010-01-22,1280,No,0,0,0,0,0
2010-01-22,1512,Yes,0,0,0,0,0
2010-01-22,1586,No,0,0,0,0,0
2010-01-22,1592,Yes,0,0,0,0,0
2010-01-22,1672,Yes,0,0,0,0,0
2010-01-22,1720,No,0,0,0,0,0
2010-01-23,130,Yes,0,0,0,0,0
2010-01-23,349,No,0,0,0,0,0
2010-01-23,1280,No,0,0,0,0,0
2010-01-23,1512,No,0,0,0,0,0
2010-01-23,1586,No,0,0,0,0,0
2010-01-23,1592,No,0,0,0,0,0
2010-01-23,1672,No,0,0,0,0,0
2010-01-23,1720,Yes,0,0,0,0,0
2010-01-24,130,No,0,0,0,0,0
2010-01-24,349,No,0,0,0,0,0
2010-01-24,1280,No,0,0,0,0,0
2010-01-24,1512,No,0,0,0,0,0
2010-01-24,1586,No,0,0,0,0,0
2010-01-24,1592,No,0,0,0,0,0
2010-01-24,1672,No,0,0,0,0,0
2010-01-24,1720,No,0,0,0,0,0
2010-01-25,130,No,0,0,0,0,0
2010-01-25,349,No,0,0,0,0,0
2010-01-25,1280,Yes,0,17,31,0,17
2010-01-25,1512,Yes,366,0,0,0,0
2010-01-25,1586,No,0,0,0,0,0
2010-01-25,1592,Yes,0,0,0,0,0
2010-01-25,1672,Yes,0,0,16,0,0
2010-01-25,1720,No,0,0,0,0,0
2010-01-26,130,Yes,0,23,9,0,0
2010-01-26,349,No,0,0,0,0,0
2010-01-26,1280,No,0,0,0,0,0
2010-01-26,1512,Yes,0,0,0,0,0
2010-01-26,1586,Yes,0,0,0,0,0
2010-01-26,1592,Yes,0,0,0,0,0
2010-01-26,1672,Yes,0,0,0,0,0
2010-01-26,1720,Yes,0,9,9,0,0
2010-01-27,130,No,0,0,0,0,0
2010-01-27,349,No,0,0,0,0,0
2010-01-27,1280,No,0,0,0,0,0
2010-01-27,1512,Yes,0,0,0,0,0
2010-01-27,1586,No,0,0,0,0,0
2010-01-27,1592,No,0,0,0,0,0
2010-01-27,1672,No,0,0,0,0,0
2010-01-27,1720,No,0,0,0,0,0
2010-01-28,130,Yes,0,0,0,0,0
2010-01-28,349,No,0,0,0,0,0
2010-01-28,1280,No,0,0,0,0,0
2010-01-28,1512,Yes,3,0,9,0,21
2010-01-28,1586,No,0,0,0,0,0
2010-01-28,1592,No,0,0,0,0,0
2010-01-28,1672,No,0,0,0,0,0
2010-01-28,1720,Yes,18,0,0,0,11
2010-01-29,130,No,0,0,0,0,0
2010-01-29,349,No,0,0,0,0,0
2010-01-29,1280,Yes,0,0,0,0,0
2010-01-29,1512,No,0,0,0,0,0
2010-01-29,1586,No,0,0,0,0,0
2010-01-29,1592,No,0,0,0,0,0
2010-01-29,1672,Yes,0,0,19,0,0
2010-01-29,1720,No,0,0,0,0,0
2010-01-30,130,Yes,0,0,0,0,0
2010-01-30,349,No,0,0,0,0,0
2010-01-30,1280,Yes,0,0,0,0,0
2010-01-30,1512,No,0,0,0,0,0
2010-01-30,1586,No,0,0,0,0,0
2010-01-30,1592,Yes,0,0,0,0,0
2010-01-30,1672,Yes,0,0,0,0,0
2010-01-30,1720,No,0,0,0,0,0
2010-01-31,130,No,0,0,0,0,0
2010-01-31,349,Yes,0,0,0,0,0
2010-01-31,1142,Yes,14,0,0,0,1
2010-01-31,1280,No,0,0,0,0,0
2010-01-31,1512,Yes,0,0,0,0,0
2010-01-31,1586,Yes,0,0,0,0,0
2010-01-31,1672,No,0,0,0,0,0
2010-01-31,1720,Yes,0,0,0,0,0
2010-02-01,130,No,0,0,0,0,0
2010-02-01,349,Yes,0,0,0,0,0
2010-02-01,1142,No,0,0,0,0,0
2010-02-01,1280,No,0,0,0,0,0
2010-02-01,1512,No,0,0,0,0,0
2010-02-01,1586,No,0,0,0,0,0
2010-02-01,1672,No,0,0,0,0,0
2010-02-01,1720,No,0,0,0,0,0
2010-02-02,130,Yes,0,0,0,0,0
2010-02-02,349,Yes,0,0,0,0,0
2010-02-02,1142,No,0,0,0,0,0
2010-02-02,1280,No,0,0,0,0,0
2010-02-02,1512,Yes,0,0,15,0,0
2010-02-02,1586,No,0,0,0,0,0
2010-02-02,1672,Yes,0,0,0,0,0
2010-02-02,1720,Yes,0,0,0,0,0
2010-02-03,130,Yes,0,0,0,0,0
2010-02-03,349,No,0,0,0,0,0
2010-02-03,1142,No,0,0,0,0,0
2010-02-03,1280,No,0,0,0,0,0
2010-02-03,1512,No,0,0,0,0,0
2010-02-03,1586,No,0,0,0,0,0
2010-02-03,1672,Yes,0,0,0,0,0
2010-02-03,1720,No,0,0,0,0,0
2010-02-04,130,No,0,0,0,0,0
2010-02-04,349,No,0,0,0,0,0
2010-02-04,1142,No,0,0,0,0,0
2010-02-04,1280,No,0,0,0,0,0
2010-02-04,1512,Yes,0,0,0,0,0
2010-02-04,1586,No,0,0,0,0,0
2010-02-04,1672,Yes,0,0,0,0,0
2010-02-04,1720,Yes,0,0,0,0,0
2010-02-05,130,Yes,0,0,0,0,0
2010-02-05,349,No,0,0,0,0,0
2010-02-05,1142,Yes,0,0,0,0,0
2010-02-05,1280,No,0,0,0,0,0
2010-02-05,1512,No,0,0,0,0,0
2010-02-05,1586,No,0,0,0,0,0
2010-02-05,1672,No,0,0,0,0,0
2010-02-05,1720,No,0,0,0,0,0
2010-02-06,130,No,0,0,0,0,0
2010-02-06,349,No,0,0,0,0,0
2010-02-06,1142,Yes,0,0,0,0,0
2010-02-06,1280,Yes,0,0,0,0,0
2010-02-06,1512,No,0,0,0,0,0
2010-02-06,1586,No,0,0,0,0,0
2010-02-06,1672,Yes,0,0,36,0,0
2010-02-06,1720,Yes,0,0,0,0,0
2010-02-07,130,No,0,0,0,0,0
2010-02-07,349,No,0,0,0,0,0
2010-02-07,1142,No,0,0,0,0,0
2010-02-07,1280,No,0,0,0,0,0
2010-02-07,1512,No,0,0,0,0,0
2010-02-07,1586,No,0,0,0,0,0
2010-02-07,1672,Yes,0,0,0,0,0
2010-02-07,1720,No,0,0,0,0,0
2010-02-08,130,No,0,0,0,0,0
2010-02-08,349,No,0,0,0,0,0
2010-02-08,1142,Yes,0,0,0,0,0
2010-02-08,1280,Yes,0,0,0,0,0
2010-02-08,1512,Yes,0,0,0,0,0
2010-02-08,1586,No,0,0,0,0,0
2010-02-08,1672,Yes,0,0,0,0,0
2010-02-08,1720,No,0,0,0,0,0
2010-02-09,130,No,0,0,0,0,0
2010-02-09,349,No,0,0,0,0,0
2010-02-09,1142,Yes,0,0,0,0,0
2010-02-09,1280,Yes,0,0,0,0,0
2010-02-09,1512,Yes,0,0,0,0,0
2010-02-09,1586,No,0,0,0,0,0
2010-02-09,1672,Yes,0,0,0,0,0
2010-02-09,1720,Yes,0,0,0,0,0
2010-02-10,130,Yes,0,0,34,0,0
2010-02-10,349,No,0,0,0,0,0
2010-02-10,1142,Yes,0,0,0,0,0
2010-02-10,1280,No,0,0,0,0,0
2010-02-10,1512,Yes,0,0,0,0,0
2010-02-10,1586,Yes,0,0,0,0,0
2010-02-10,1672,No,0,0,0,0,0
2010-02-10,1720,No,0,0,0,0,0
2010-02-11,130,No,0,0,0,0,0
2010-02-11,349,No,0,0,0,0,0
2010-02-11,1142,No,0,0,0,0,0
2010-02-11,1280,No,0,0,0,0,0
2010-02-11,1512,Yes,0,0,19,0,0
2010-02-11,1586,No,0,0,0,0,0
2010-02-11,1672,Yes,0,0,22,0,0
2010-02-11,1720,Yes,0,0,0,0,0
2010-02-12,1894,Yes,0,0,15,0,0
2010-02-12,130,No,0,0,0,0,0
2010-02-12,349,Yes,12,0,5,0,0
2010-02-12,1142,No,0,0,0,0,0
2010-02-12,1512,Yes,0,0,0,0,0
2010-02-12,1586,No,0,0,0,0,0
2010-02-12,1672,Yes,0,0,0,0,0
2010-02-12,1720,No,0,0,0,0,0
2010-02-13,130,No,0,0,0,0,0
2010-02-13,349,No,0,0,0,0,0
2010-02-13,1142,No,0,0,0,0,0
2010-02-13,1512,No,0,0,0,0,0
2010-02-13,1586,No,0,0,0,0,0
2010-02-13,1672,Yes,0,0,0,0,0
2010-02-13,1720,No,0,0,0,0,0
2010-02-13,1894,No,0,0,0,0,0
2010-02-14,130,Yes,15,0,44,0,0
2010-02-14,349,Yes,192,0,0,0,0
2010-02-14,1142,Yes,0,0,0,0,0
2010-02-14,1512,Yes,0,36,14,0,0
2010-02-14,1586,Yes,0,0,22,0,0
2010-02-14,1672,No,0,0,0,0,0
2010-02-14,1720,No,0,0,0,0,0
2010-02-14,1894,No,0,0,0,0,0
2010-02-15,130,No,0,0,0,0,0
2010-02-15,349,No,0,0,0,0,0
2010-02-15,1142,No,0,0,0,0,0
2010-02-15,1512,No,0,0,0,0,0
2010-02-15,1586,Yes,15,0,0,0,0
2010-02-15,1672,Yes,10,0,10,0,5
2010-02-15,1720,No,0,0,0,0,0
2010-02-15,1894,No,0,0,0,0,0
2010-02-16,130,No,0,0,0,0,0
2010-02-16,349,No,0,0,0,0,0
2010-02-16,1142,No,0,0,0,0,0
2010-02-16,1512,No,0,0,0,0,0
2010-02-16,1586,No,0,0,0,0,0
2010-02-16,1672,Yes,98,0,0,0,0
2010-02-16,1720,No,0,0,0,0,0
2010-02-16,1894,Yes,0,0,0,0,0
2010-02-17,130,No,0,0,0,0,0
2010-02-17,349,No,0,0,0,0,0
2010-02-17,1142,No,0,0,0,0,0
2010-02-17,1512,No,0,0,0,0,0
2010-02-17,1586,No,0,0,0,0,0
2010-02-17,1672,Yes,4,0,1,0,13
2010-02-17,1720,No,0,0,0,0,0
2010-02-17,1894,No,0,0,0,0,0
2010-02-18,130,No,0,0,0,0,0
2010-02-18,349,No,0,0,0,0,0
2010-02-18,1142,Yes,0,0,0,0,0
2010-02-18,1512,Yes,0,0,0,0,0
2010-02-18,1586,Yes,0,0,0,0,0
2010-02-18,1720,Yes,37,0,0,0,0
2010-02-18,1894,Yes,0,0,33,0,0
2010-02-19,130,No,0,0,0,0,0
2010-02-19,349,No,0,0,0,0,0
2010-02-19,1142,No,0,0,0,0,0
2010-02-19,1512,No,0,0,0,0,0
2010-02-19,1586,No,0,0,0,0,0
2010-02-19,1672,No,0,0,0,0,0
2010-02-19,1720,No,0,0,0,0,0
2010-02-19,1894,No,0,0,0,0,0
2010-02-20,130,No,0,0,0,0,0
2010-02-20,349,No,0,0,0,0,0
2010-02-20,1142,Yes,0,0,0,0,0
2010-02-20,1512,No,0,0,0,0,0
2010-02-20,1586,No,0,0,0,0,0
2010-02-20,1672,No,0,0,0,0,0
2010-02-20,1720,No,0,0,0,0,0
2010-02-20,1894,No,0,0,0,0,0
2010-02-21,130,No,0,0,0,0,0
2010-02-21,349,No,0,0,0,0,0
2010-02-21,1142,No,0,0,0,0,0
2010-02-21,1512,No,0,0,0,0,0
2010-02-21,1586,No,0,0,0,0,0
2010-02-21,1672,No,0,0,0,0,0
2010-02-21,1720,No,0,0,0,0,0
2010-02-21,1894,No,0,0,0,0,0
2010-02-22,130,No,0,0,0,0,0
2010-02-22,349,No,0,0,0,0,0
2010-02-22,1142,No,0,0,0,0,0
2010-02-22,1512,No,0,0,0,0,0
2010-02-22,1586,No,0,0,0,0,0
2010-02-22,1672,No,0,0,0,0,0
2010-02-22,1720,No,0,0,0,0,0
2010-02-22,1894,No,0,0,0,0,0
2010-02-23,130,No,0,0,0,0,0
2010-02-23,349,Yes,0,0,0,0,0
2010-02-23,1142,No,0,0,0,0,0
2010-02-23,1512,No,0,0,0,0,0
2010-02-23,1586,No,0,0,0,0,0
2010-02-23,1672,No,0,0,0,0,0
2010-02-23,1720,No,0,0,0,0,0
2010-02-23,1894,No,0,0,0,0,0
2010-02-24,130,No,0,0,0,0,0
2010-02-24,349,No,0,0,0,0,0
2010-02-24,1142,No,0,0,0,0,0
2010-02-24,1512,No,0,0,0,0,0
2010-02-24,1586,No,0,0,0,0,0
2010-02-24,1672,No,0,0,0,0,0
2010-02-24,1720,No,0,0,0,0,0
2010-02-24,1894,No,0,0,0,0,0
2010-02-25,130,No,0,0,0,0,0
2010-02-25,349,No,0,0,0,0,0
2010-02-25,1142,No,0,0,0,0,0
2010-02-25,1512,No,0,0,0,0,0
2010-02-25,1586,No,0,0,0,0,0
2010-02-25,1672,No,0,0,0,0,0
2010-02-25,1720,No,0,0,0,0,0
2010-02-25,1894,No,0,0,0,0,0
2010-02-26,130,No,0,0,0,0,0
2010-02-26,349,No,0,0,0,0,0
2010-02-26,1142,No,0,0,0,0,0
2010-02-26,1512,No,0,0,0,0,0
2010-02-26,1586,No,0,0,0,0,0
2010-02-26,1672,No,0,0,0,0,0
2010-02-26,1720,No,0,0,0,0,0
2010-02-26,1894,No,0,0,0,0,0
2010-02-27,130,Yes,0,0,0,0,0
2010-02-27,349,Yes,0,0,0,0,0
2010-02-27,1142,Yes,0,0,0,0,0
2010-02-27,1512,No,0,0,0,0,0
2010-02-27,1586,No,0,0,0,0,0
2010-02-27,1672,Yes,0,0,0,0,0
2010-02-27,1720,Yes,11,0,6,0,0
2010-02-27,1894,No,0,0,0,0,0
2010-02-28,130,No,0,0,0,0,0
2010-02-28,349,Yes,0,0,0,0,0
2010-02-28,1142,No,0,0,0,0,0
2010-02-28,1512,No,0,0,0,0,0
2010-02-28,1586,No,0,0,0,0,0
2010-02-28,1672,Yes,0,0,0,0,24
2010-02-28,1720,No,0,0,0,0,0
2010-02-28,1894,No,0,0,0,0,0
2010-03-01,130,Yes,0,0,53,0,0
2010-03-01,349,Yes,0,0,28,0,0
2010-03-01,1142,Yes,0,0,25,0,0
2010-03-01,1512,Yes,0,0,46,0,0
2010-03-01,1586,No,0,0,0,0,0
2010-03-01,1672,Yes,1,0,42,0,0
2010-03-01,1720,No,0,0,0,0,0
2010-03-02,130,No,0,0,0,0,0
2010-03-02,349,Yes,0,0,17,0,0
2010-03-02,1142,No,0,0,0,0,0
2010-03-02,1512,Yes,0,0,0,0,246
2010-03-02,1562,No,0,0,0,0,0
2010-03-02,1586,No,0,0,0,0,0
2010-03-02,1672,Yes,0,0,0,0,0
2010-03-03,130,No,0,0,0,0,0
2010-03-03,349,No,0,0,0,0,0
2010-03-03,1142,No,0,0,0,0,0
2010-03-03,1512,No,0,0,0,0,0
2010-03-03,1562,No,0,0,0,0,0
2010-03-03,1586,No,0,0,0,0,0
2010-03-03,1672,No,0,0,0,0,0
2010-03-03,1720,Yes,5,0,0,0,11
2010-03-04,130,No,0,0,0,0,0
2010-03-04,349,No,0,0,0,0,0
2010-03-04,1142,No,0,0,0,0,0
2010-03-04,1512,No,0,0,0,0,0
2010-03-04,1562,No,0,0,0,0,0
2010-03-04,1586,No,0,0,0,0,0
2010-03-04,1672,Yes,0,0,0,0,0
2010-03-04,1720,No,0,0,0,0,0
2010-03-05,130,Yes,9,0,13,0,0
2010-03-05,349,No,0,0,0,0,0
2010-03-05,1142,No,0,0,0,0,0
2010-03-05,1512,No,0,0,0,0,0
2010-03-05,1562,Yes,0,0,0,0,0
2010-03-05,1586,No,0,0,0,0,0
2010-03-05,1672,No,0,0,0,0,0
2010-03-05,1720,No,0,0,0,0,0
2010-03-06,130,No,0,0,0,0,0
2010-03-06,349,No,0,0,0,0,0
2010-03-06,1142,Yes,0,0,0,0,0
2010-03-06,1512,No,0,0,0,0,0
2010-03-06,1562,No,0,0,0,0,0
2010-03-06,1586,No,0,0,0,0,0
2010-03-06,1672,No,0,0,0,0,0
2010-03-06,1720,Yes,0,0,0,0,0
2010-03-07,130,No,0,0,0,0,0
2010-03-07,1142,Yes,0,0,0,0,0
2010-03-07,1512,No,0,0,0,0,0
2010-03-07,1562,No,0,0,0,0,0
2010-03-07,1586,Yes,0,0,0,0,0
2010-03-07,1672,No,0,0,0,0,0
2010-03-07,1720,Yes,0,0,0,0,0
2010-03-08,130,Yes,0,0,0,0,0
2010-03-08,349,No,0,0,0,0,0
2010-03-08,1142,No,0,0,0,0,0
2010-03-08,1512,No,0,0,0,0,0
2010-03-08,1562,No,0,0,0,0,0
2010-03-08,1586,No,0,0,0,0,0
2010-03-08,1672,Yes,0,0,0,0,0
2010-03-08,1720,No,0,0,0,0,0
2010-03-09,130,No,0,0,0,0,0
2010-03-09,349,No,0,0,0,0,0
2010-03-09,1142,Yes,0,0,19,0,0
2010-03-09,1512,No,0,0,0,0,0
2010-03-09,1562,No,0,0,0,0,0
2010-03-09,1586,No,0,0,0,0,0
2010-03-09,1672,Yes,0,0,0,0,0
2010-03-09,1720,Yes,0,0,0,0,0
2010-03-10,130,No,0,0,0,0,0
2010-03-10,349,No,0,0,0,0,0
2010-03-10,1142,No,0,0,0,0,0
2010-03-10,1512,No,0,0,0,0,0
2010-03-10,1562,No,0,0,0,0,0
2010-03-10,1586,No,0,0,0,0,0
2010-03-10,1672,Yes,0,0,0,0,0
2010-03-10,1720,No,0,0,0,0,0
2010-03-11,130,No,0,0,0,0,0
2010-03-11,349,No,0,0,0,0,0
2010-03-11,1142,No,0,0,0,0,0
2010-03-11,1512,Yes,0,0,0,0,0
2010-03-11,1562,No,0,0,0,0,0
2010-03-11,1586,No,0,0,0,0,0
2010-03-11,1672,No,0,0,0,0,0
2010-03-11,1720,No,0,0,0,0,0
2010-03-12,130,No,0,0,0,0,0
2010-03-12,349,No,0,0,0,0,0
2010-03-12,1142,Yes,0,0,0,0,0
2010-03-12,1512,No,0,0,0,0,0
2010-03-12,1562,No,0,0,0,0,0
2010-03-12,1586,No,0,0,0,0,0
2010-03-12,1672,Yes,0,0,0,0,0
2010-03-12,1720,No,0,0,0,0,0
2010-03-13,130,Yes,0,0,0,0,0
2010-03-13,349,Yes,0,0,15,0,0
2010-03-13,1142,Yes,0,0,0,0,0
2010-03-13,1512,No,0,0,0,0,0
2010-03-13,1562,No,0,0,0,0,0
2010-03-13,1586,Yes,0,0,0,0,0
2010-03-13,1672,No,0,0,0,0,0
2010-03-13,1720,Yes,0,0,0,0,0
2010-03-14,130,Yes,0,0,19,0,0
2010-03-14,349,No,0,0,0,0,0
2010-03-14,1142,Yes,0,0,17,0,0
2010-03-14,1512,Yes,0,0,33,0,0
2010-03-14,1562,Yes,0,0,58,0,0
2010-03-14,1586,No,0,0,0,0,0
2010-03-14,1672,Yes,4,0,150,0,18
2010-03-14,1720,No,0,0,0,0,0
2010-03-15,130,Yes,0,0,35,0,0
2010-03-15,349,Yes,0,0,28,0,0
2010-03-15,1142,Yes,0,0,70,0,0
2010-03-15,1512,Yes,0,0,16,0,0
2010-03-15,1562,Yes,0,0,79,0,0
2010-03-15,1586,Yes,0,0,20,0,0
2010-03-15,1672,No,0,0,0,0,0
2010-03-15,1720,No,0,0,0,0,0
2010-03-16,130,Yes,0,0,88,0,0
2010-03-16,349,Yes,0,0,66,0,0
2010-03-16,1142,Yes,0,0,68,0,0
2010-03-16,1512,Yes,0,0,97,0,0
2010-03-16,1562,Yes,0,93,28,0,0
2010-03-16,1586,Yes,0,0,57,0,0
2010-03-16,1672,Yes,0,0,20,0,22
2010-03-16,1720,Yes,0,0,0,0,0
2010-03-17,130,No,0,0,0,0,0
2010-03-17,349,No,0,0,0,0,0
2010-03-17,1142,Yes,0,0,0,0,0
2010-03-17,1512,No,0,0,0,0,0
2010-03-17,1562,No,0,0,0,0,0
2010-03-17,1586,No,0,0,0,0,0
2010-03-17,1672,Yes,0,0,0,0,0
2010-03-17,1720,No,0,0,0,0,0
2010-03-18,130,No,0,0,0,0,0
2010-03-18,349,No,0,0,0,0,0
2010-03-18,1142,No,0,0,0,0,0
2010-03-18,1512,No,0,0,0,0,0
2010-03-18,1562,No,0,0,0,0,0
2010-03-18,1586,No,0,0,0,0,0
2010-03-18,1672,Yes,0,0,0,0,16
2010-03-18,1720,No,0,0,0,0,0
2010-03-19,130,No,0,0,0,0,0
2010-03-19,349,No,0,0,0,0,0
2010-03-19,1142,No,0,0,0,0,0
2010-03-19,1512,Yes,71,0,0,0,0
2010-03-19,1562,No,0,0,0,0,0
2010-03-19,1586,No,0,0,0,0,0
